id,source_paper,question_text,options,subject,chapter,difficulty,type
JEE_Main_2002_1,JEE_Main_2002.pdf,Two forces are such that the sum of their magnitudes is 18 N and their resultant is 12 N which is perpendicular to the smaller force. Then the magnitudes of the forces are,"['(a) 12N,6N', '(b) 13 N,5N', '(c) 10N,8N', '(d) 16N,2N']",,,,
JEE_Main_2002_2,JEE_Main_2002.pdf,Identify the pair whose dimensions are equal,"['(a) torque and work', '(b) stress and energy', '(c) force and stress', '(d) force and work']",,,,
JEE_Main_2002_3,JEE_Main_2002.pdf,"From a building two balls A and B are thrown such that A is thrown upwards A and B downwards (both vertically). If vq and vp are their respective velocities on reaching the ground, then","['(a) Vp > Va', '(b) Va = VB', '(c) Va > Vp', '(d) their velocities depend on their masses']",,,,
JEE_Main_2002_4,JEE_Main_2002.pdf,"If a body looses half of its velocity on penetrating 3 cm in a wooden block, then how much will it penetrate more before coming to rest?","['(a) 1cm', '(b) 2 cm', '(c) 3 cm', '(d) 4cm']",,,,
JEE_Main_2002_5,JEE_Main_2002.pdf,Speeds of two identical cars are u and 4u at the specific instant. The ratio of the respective distances in which the two cars are stopped from that instant is,"['(a) 1:1', '(b) 1:4', '(c) 1:8', '(d) 1:16']",,,,
JEE_Main_2002_6,JEE_Main_2002.pdf,The minimum velocity (in ms~! ) with which a car driver must traverse a flat curve of radius 150 m and coefficient of friction 0.6 to avoid skidding is,"['(a) 60', '(b) 30', '(c) 15', '(d) 25']",,,,
JEE_Main_2002_7,JEE_Main_2002.pdf,A lift is moving down with acceleration a. A man in the lift drops a ball inside the lift. The acceleration of the ball as observed by the man in the lift and a man standing stationary on the ground are respectively,"['(a) g,g', '(b) g-a,g-a', '(c) g-a,g', '(d) a, g']",,,,
JEE_Main_2002_8,JEE_Main_2002.pdf,"When forces F\, Fo, F’3 are acting on a particle of mass m such that Fy and F3 are mutually perpendicular, then the particle remains stationary. If the force F 1s now removed then the acceleration of the particle is","['(a) Fi/m', '(b) Fo F3/mF1', '(c) (F2 — F3)/m', '(d) Fo/m']",,,,
JEE_Main_2002_9,JEE_Main_2002.pdf,"A light string passing over a smooth light pulley connects two blocks of masses m1 and mg (vertically). If the acceleration of the system is g/8, then the ratio of the masses is","['(a) 8:1', '(b) 9:7', '(c) 4:3', '(d) 5:3']",,,,
JEE_Main_2002_10,JEE_Main_2002.pdf,"Three identical blocks of masses m = 2 kg are drawn by a force F = 10.2 N with an acceleration of 0.6 ms~? on a frictions surface, then what is the tension (in N ) in the string between the blocks B and C?","['(a) 9.2', '(b) 7.8', '(c) 4', '(d) 9.8']",,,,
JEE_Main_2002_11,JEE_Main_2002.pdf,"One end of a massless rope, which passes over a massless and frictionless pulley P is tied to a hook C’ while the other end is free. Maximum tension that the rope can bear is 360 N. With what value of maximum safe acceleration (in ms~? ) can a man of 60 kg climb on the rope?","['(a) 16', '(b) 6', '(c) 4', '(d) 8']",,,,
JEE_Main_2002_12,JEE_Main_2002.pdf,"A bead of weight w can slide on smooth circular wire in a vertical plane. The bead is attached by a light thread to the highest point of the wire and in equilibrium, the thread is taut and make an angle 6 with the vertical then tension of the thread and reaction of the wire on the bead are","['(a) T=wcosθ R=wtanθ', '(b) T=2wcos²θ R=w', '(c) T=w R=wsinθ', '(d) T=wsinθ R=wcotθ']",,,,
JEE_Main_2002_13,JEE_Main_2002.pdf,A spring of force constant 800 N/m has an extension of 5 cm. The work done is extending it from 5 cm to 15 cm is,"['(a) 16 J', '(b) 8J', '(c) 32 J', '(d) 24 J']",,,,
JEE_Main_2002_14,JEE_Main_2002.pdf,"A ball whose kinetic energy is E, is projected at an angle of 45° to the horizontal. The kinetic energy of the ball at the highest point of its flight will be","['(a) E', '(b) E/√3', '(c) E/2', '(d) zero']",,,,
JEE_Main_2002_15,JEE_Main_2002.pdf,Two identical particles move towards each other with velocity 2v and v respectively. The velocity of centre of mass is,"['(a) v', '(b) v/3', '(c) v/2', '(d) zero']",,,,
